"age" "change_500" "change_800" "empl" "expect" "gender" "ger" "hours" "income" "job_ashamed" "job_boring" "job_interesting" "job_repetitive" "job_satisfied" "job_social_status" "job_stimulating" "job_unsatisfied" "time_change" "ubi_300" "ubi_500" "ubi_800" "what_income_300" "what_income_500" "what_income_800" "what_less_300" "what_less_500" "what_less_800" "what_time_300" "what_time_500" "what_time_800"
"24" "25-35" "0" "1" "1" "No change with UBI." "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA "Invest it" NA NA NA NA NA NA
"25" "25-35" "0" "0" "1" "No change with UBI." "Male" "1" "40+" "45,000-60,000" "0" "0" "0" "1" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"26" "25-35" "0" "0" "1" "No change with UBI." "Male" "0" "0-10" "0-15,000" "0" "0" "1" "1" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" NA NA NA NA NA NA NA NA
"27" "45+" "0" "0" "1" "No change with UBI." "Male" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"28" "35-45" "0" "0" "1" "No change with UBI." "Male" "1" "0-10" "45,000-60,000" "0" "0" "1" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" NA NA NA NA NA NA NA NA
"29" "25-35" "1" "0" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "20-30%" NA NA "Other" NA
"30" "18-25" "1" "1" "1" "No change with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "1" "1" "0" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Other" "Save it" NA NA NA "30-40%" NA NA "Education"
"31" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Other" NA NA NA NA NA NA NA NA
"32" "25-35" "0" "1" "1" "No change with UBI" "Male" "1" "10-20" "15,000-30,000" "0" "0" "0" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" NA "Invest it" NA NA "10_30%" NA NA "Education"
"33" "18-25" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "0-15,000" "0" "0" "1" "1" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" NA NA NA NA "20-30%" NA NA "Other"
"34" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "30,000-45,000" "0" "0" "0" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"35" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "20-40" "15,000-30,000" "0" "1" "0" "1" "0" "0" "0" "1" NA "Work less" "Work less" "Work less" NA NA NA "50%" NA NA "Education" NA NA
"36" "25-35" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "0" "1" "1" "0" "Within the next 12 months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"37" "25-35" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "0" "0" "0" "0" "0" "1" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" NA NA NA NA NA NA NA NA
"38" "18-25" "1" "1" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "0" "1" "1" "0" "Within the next 12 months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" "Save it" "Save it" NA NA NA NA NA NA
"39" "18-25" "1" "1" "1" "Unemployed, more chances of full-time employment with UBI" "Female" "1" "20-40" "0-15,000" "0" "0" "0" "1" "0" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" "Invest it" "Invest it" NA NA "10-20%" NA NA "Career development training"
"40" "25-35" "0" "0" "1" "Unemployed, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "1" "0" "1" "0" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"41" "25-35" "1" "1" "1" "Employed part-time, more chances of full-time employment with UBI" "Female" "1" "0-10" "0-15,000" "1" "1" "0" "1" "0" "0" "0" "1" "Over the next few months" "Work less" "Work less" "Stop working" NA NA NA "10-20%" "50%" NA "Other" "Education" "Education"
"42" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" "Invest it" NA NA NA "10-20%" NA NA "Other"
"43" "18-25" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Female" "1" "20-40" "0-15,000" "0" "0" "1" "0" "1" "1" "1" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"44" "25-35" "1" "0" "1" "Unemployed, more chances of part-time employment with UBI" "Female" "1" "0-10" "0-15,000" "1" "0" "0" "0" "0" "0" "0" "1" "Within the next 12 months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" "Save it" NA NA NA NA NA NA NA
"45" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "0" "1" "0" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" "Spent it for material goods" NA NA NA "50%" NA NA "Education"
"46" "25-35" "0" "0" "1" "No change with UBI" "Male" "0" "40+" "60,000+" "0" "0" "1" "0" "0" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" NA NA NA NA NA NA NA NA
"47" "25-35" "0" "0" "1" "Unemployed, more chances of part-time employment with UBI" "Male" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "0" "1" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"48" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "20-40" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" "Spent it for material goods" "Invest it" NA NA NA NA NA "Other"
"49" "18-25" "0" "1" "1" "No change with UBI" "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "1" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA "Spend it for material goods" NA NA NA NA NA "Other"
"50" "18-25" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "15,000-30,000" "0" "1" "0" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"51" "25-35" "0" "1" "1" "No change with UBI" "Male" "0" "40+" "15,000-30,000" "0" "0" "1" "0" "0" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA "Invest it" NA NA "20-30%" NA NA "Other"
"52" "25-35" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "1" "0" "1" "0" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"53" "18-25" "0" "0" "1" "No change with UBI" "Other/Prefer not to say" "1" "0-10" "0-15,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"54" "25-35" "1" "0" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "1" "1" "1" "0" "1" "0" "1" NA "Work the same amount as now" "Work less" "Work less" "Invest it" NA NA NA "20-30%" NA NA "Other" NA
"55" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "30,000-45,000" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"56" "35-45" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"57" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "10-20" "0-15,000" "0" "1" "0" "1" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" NA NA NA NA NA NA NA NA
"58" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "15,000-30,000" "0" "0" "1" "1" "1" "0" "0" "0" NA "Work less" "Work less" "Work less" NA NA NA "10-20%" NA NA "Education" NA NA
"59" "18-25" "1" "1" "1" "No change with UBI" "Male" "1" "0-10" "0-15,000" "0" "1" "1" "1" "1" "1" "1" "0" NA "Work the same amount as now" "Stop working" "Stop working" "Spend it for career development training" NA NA NA NA NA NA "Career development training" "Career development training"
"60" "35-45" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "45,000-60,000" "0" "0" "1" "0" "0" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"61" "25-35" "1" "1" "1" "Employed part-time, more chances of full-time employment with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "0" "1" "1" "0" "0" "0" "Within the next 12 months" "Work the same amount as now" "Work less" "Stop working" "Save it" NA NA NA "20-30%" NA NA "Other" "Education"
"62" "25-35" "1" "1" "1" "No change with UBI" "Male" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work less" "Work less" "Invest it" NA NA NA "10-20%" "50%" NA "Other" "Other"
"63" "25-35" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "60,000+" "0" "0" "1" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" NA NA NA NA "50%" NA NA "Other"
"64" "25-35" "1" "0" "1" "No change with UBI" "Male" "1" "40+" "60,000+" "0" "0" "0" "0" "0" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" "Invest it" NA NA NA NA NA NA NA
"65" "25-35" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA "Other" NA NA NA NA NA "Other"
"66" "18-25" "0" "0" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" NA NA NA NA NA NA NA NA
"67" "18-25" "1" "1" "1" "Unemployed, more chances of full-time employment with UBI" "Female" "1" "10-20" "0-15,000" "0" "0" "0" "1" "1" "0" "0" "0" "Over the next few months" "Work the same amount as now" "Stop working" "Stop working" "Spend it for material goods" NA NA NA NA NA NA "Education" "Education"
"68" "18-25" "1" "0" "1" "No change with UBI" "Male" "1" "20-40" "0-15,000" "0" "0" "1" "1" "0" "0" "0" "1" NA "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "10-20%" NA NA "Other" NA
"69" "18-25" "0" "1" "1" "No change with UBI" "Other/Prefer not to say" "1" "20-40" "15,000-30,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA "Invest it" NA NA "10-20%" NA NA "Career development training"
"70" "18-25" "0" "0" "1" "No change with UBI" "Male" "1" "10-20" "0-15,000" "0" "1" "1" "0" "0" "0" "0" "1" NA "Work less" "Work less" "Work less" NA NA NA "20-30%" NA NA "Other" NA NA
"71" "25-35" "1" "1" "1" "No change with UBI" "Male" "1" "20-40" "45,000-60,000" "0" "0" "1" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work less" "Work less" "Invest it" NA NA NA "20-30%" "50%" NA "Other" "Other"
"72" "25-35" "1" "1" "1" "No change with UBI" "Male" "1" "20-40" "15,000-30,000" "0" "0" "1" "0" "0" "0" "0" "0" NA "Work less" "Work the same amount as now" "Work less" NA "Spend it for career development training" NA "20-30%" NA "20-30%" "Other" NA "Other"
"73" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "30,000-45,000" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work less" "Work less" "Work less" NA NA NA "10-20%" NA NA "Other" NA NA
"74" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "60,000+" "0" "0" "1" "0" "0" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"75" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "40+" "15,000-30,000" "0" "1" "0" "1" "0" "0" "0" "1" NA "Work less" "Work less" "Work less" NA NA NA "50%" NA NA "Other" NA NA
"76" "25-35" "1" "1" "1" "No change with UBI" "Male" "0" "40+" "45,000-60,000" "0" "0" "1" "1" "1" "0" "1" "0" NA "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "10-20%" "20-30%" NA "Other" "Other"
"77" "25-35" "0" "1" "1" "No change with UBI" "Male" "1" "0-10" "0-15,000" "0" "1" "1" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for material goods" NA "Invest it" NA NA NA NA NA "Other"
"78" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "20-40" "60,000+" "0" "0" "0" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"79" "18-25" "1" "1" "1" "No change with UBI" "Female" "1" "0-10" "0-15,000" "0" "1" "0" "1" "0" "0" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Stop working" "Invest it" "Spent it for material goods" NA NA NA NA NA NA "Education"
"80" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"81" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"82" "25-35" "1" "1" "1" "No change with UBI" "Male" "1" "10-20" "0-15,000" "0" "1" "0" "1" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" "Spent it for material goods" NA NA NA "10-20%" NA NA "Education"
"83" "18-25" "0" "1" "1" "No change with UBI" "Male" "0" "20-40" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" NA NA NA NA "10-20%" NA NA "Education"
"84" "18-25" "0" "0" "1" "No change with UBI" "Male" "0" "20-40" "30,000-45,000" "0" "1" "0" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"85" "18-25" "0" "0" "1" "No change with UBI" "Male" "0" "20-40" "0-15,000" "0" "1" "1" "0" "0" "0" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"86" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "0" "0" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"87" "18-25" "0" "1" "1" "No change with UBI" "Male" "0" "20-40" "15,000-30,000" "0" "0" "0" "0" "0" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" NA NA NA NA "40-50%" NA NA "Education"
"88" "18-25" "0" "1" "1" "No change with UBI" "Male" "1" "10-20" "0-15,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" NA NA NA NA "30-40%" NA NA "Other"
"89" "25-35" "1" "0" "1" "No change with UBI" "Male" "1" "40+" "45,000-60,000" "0" "1" "0" "0" "1" "0" "1" "0" NA "Work less" "Work less" "Work less" NA NA NA "10-20%" "10-20%" NA "Education" "Education" NA
"90" "25-35" "0" "1" "1" "No change with UBI" "Male" "1" "20-40" "45,000-60,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" NA NA NA NA "20-30%" NA NA "Education"
"91" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "20-40" "45,000-60,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" "Invest it" NA NA NA "20-30%" NA NA "Other"
"92" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "20-40" "60,000+" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work less" "Work less" "Work less" NA NA NA "10-20%" NA NA "Other" NA NA
"93" "25-35" "0" "1" "1" "No change with UBI" "Other/Prefer not to say" "1" "20-40" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Stop working" "Other" NA NA NA NA NA NA NA "Education"
"94" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "45,000-60,000" "0" "1" "0" "0" "0" "0" "1" "1" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"95" "25-35" "0" "1" "1" "No change with UBI" "Male" "0" "20-40" "45,000-60,000" "0" "0" "1" "0" "0" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" NA NA NA NA "10-20%" NA NA "Other"
"96" "25-35" "0" "0" "1" "No change with UBI" "Male" "1" "40+" "45,000-60,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"97" "25-35" "0" "1" "1" "No change with UBI" "Male" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "0" "0" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" NA NA NA NA "10-20%" NA NA "Other"
"98" "25-35" "1" "1" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work less" "Work less" "Save it" NA NA NA "10-20%" "30-40%" NA "Other" "Other"
"99" "25-35" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA "Invest it" NA NA "10-20%" NA NA "Other"
"100" "35-45" "0" "0" "1" "No change with UBI" "Male" "1" "20-40" "45,000-60,000" "0" "0" "0" "0" "0" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"101" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"102" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"103" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"104" "25-35" "0" "1" "1" "No change with UBI" "Female" "1" "20-40" "60,000+" "0" "0" "1" "1" "0" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Save it" NA NA NA NA "20%" NA NA "Other"
"105" "25-35" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"106" "18-25" "0" "0" "1" "No change with UBI" "Female" "1" "40+" "30,000-45,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
